Age,YOC,NOB,PA
16,2020,796.47,61.8
16,2019,908.82,62.6
16,2018,926.592,61.6
16,2017,989.181,60.7
16,2016,1086.085,61.5
16,2015,1403.73,59.5
16,2014,1560,62.5
16,2013,1784.832,61.6
16,2012,2183.664,59.8
16,2011,2384.418,60.2
16,2010,2502.75,62.5
16,2009,2877.516,59.8
16,2008,2920.61,61.5
16,2007,3157,61.5
16,2006,3146.052,59.8
16,2005,3401.97,57.1
16,2004,3259.22,57.2
16,2003,3418.224,57.4
16,2002,3496.5,55.6
16,2001,3493.126,55.8
16,2000,3732.9,54
16,1999,3765.93,52.6
16,1998,4023.152,52.4
16,1997,4160.313,49.7
16,1996,4498.848,49.2
16,1995,4218.724,47.6
16,1994,3874.115,50.3
16,1993,3646.528,49.8
16,1992,3709.538,48.6
16,1991,3657.72,51.1
16,1990,4004.388,50.8
18,2020,5936,52.8
18,2019,6775,54.4
18,2018,7384,52.8
18,2017,8085,51.7
18,2016,8790,51.4
18,2015,10013,50.8
18,2014,11145,50.8
18,2013,11983,50.7
18,2012,14279,48.7
18,2011,15898,48.8
18,2010,17351,49.9
18,2009,19589,48.8
18,2008,20929,49.4
18,2007,21494,50
18,2006,21552,48.4
18,2005,22729,46.3
18,2004,22956,45.6
18,2003,22894,45.7
18,2002,22947,45.3
18,2001,22258,45.7
18,2000,23073,44.2
18,1999,23956,43
18,1998,25589,42
18,1997,25755,40.6
18,1996,26093,40
18,1995,23220,38.7
18,1994,21727,39.8
18,1993,21763,39.2
18,1992,22869,39.1
18,1991,24093,39.9
18,1990,26361,41.1
20,2020,21004,50.1
20,2019,24200,50
20,2018,26362,48.4
20,2017,28072,47
20,2016,30493,45.7
20,2015,32719,45.3
20,2014,34966,44.6
20,2013,37868,44.2
20,2012,42720,43
20,2011,48309,42.5
20,2010,52440,42.8
20,2009,56904,41.9
20,2008,59474,42.4
20,2007,61027,42.6
20,2006,59913,41.9
20,2005,61080,40.3
20,2004,60656,40.1
20,2003,58958,40.2
20,2002,58361,39.9
20,2001,57198,40.4
20,2000,59283,39.3
20,1999,60655,38.6
20,1998,63212,37.8
20,1997,60676,36.8
20,1996,60528,36.2
20,1995,56627,34.6
20,1994,55735,34.7
20,1993,57266,34.3
20,1992,61749,33.9
20,1991,66564,34.5
20,1990,72871,35.7
20-24,2020,85791,38
20-24,2019,91172,37.3
20-24,2018,98488,35
20-24,2017,103877,33.2
20-24,2016,110309,31.6
20-24,2015,117032,30.5
20-24,2014,121926,29.9
20-24,2013,126740,29.8
20-24,2012,135837,28.5
20-24,2011,144521,27.7
20-24,2010,146545,27.3
20-24,2009,145462,27.1
20-24,2008,142904,28
20-24,2007,142653,28.2
20-24,2006,136331,28.7
20-24,2005,132436,28.6
20-24,2004,128904,28.9
20-24,2003,124460,29
20-24,2002,119449,28.8
20-24,2001,113636,29.7
20-24,2000,112551,29.2
20-24,1999,112678,28.5
20-24,1998,117884,27.8
20-24,1997,122602,26.7
20-24,1996,133600,25.7
20-24,1995,137308,24.2
20-24,1994,145815,23.4
20-24,1993,157185,22.8
20-24,1992,167792,22.3
20-24,1991,181535,22.2
20-24,1990,189938,22.3
25-29,2020,173893,22.7
25-29,2019,177392,22.5
25-29,2018,185048,21.4
25-29,2017,192282,20
25-29,2016,200497,18.9
25-29,2015,204721,18.1
25-29,2014,203669,17.7
25-29,2013,202260,17.6
25-29,2012,203746,16.9
25-29,2011,206639,16.9
25-29,2010,206775,16.4
25-29,2009,202277,16.5
25-29,2008,196391,17.4
25-29,2007,193674,17.5
25-29,2006,182234,18
25-29,2005,173264,18
25-29,2004,167779,18.2
25-29,2003,164065,17.9
25-29,2002,163726,17.9
25-29,2001,162617,18.4
25-29,2000,172275,17.7
25-29,1999,180225,17.5
25-29,1998,192689,17.1
25-29,1997,202790,16.4
25-29,1996,213205,15.6
25-29,1995,213243,14.8
25-29,1994,224405,14.3
25-29,1993,233950,13.9
25-29,1992,236667,13.9
25-29,1991,243807,13.4
25-29,1990,245868,13.5
30-34,2020,205284,17.4
30-34,2019,197945,17.3
30-34,2018,202972,16.2
30-34,2017,204679,15
30-34,2016,208144,14.2
30-34,2015,211577,13.6
30-34,2014,208153,13.3
30-34,2013,204820,13.2
30-34,2012,201512,13
30-34,2011,201562,12.8
30-34,2010,194385,12.6
30-34,2009,186835,12.4
30-34,2008,180563,12.8
30-34,2007,184671,12.7
30-34,2006,184617,13.1
30-34,2005,181559,13.2
30-34,2004,181953,13.2
30-34,2003,180607,13.6
30-34,2002,175873,13.9
30-34,2001,167966,14.6
30-34,2000,166987,14.5
30-34,1999,168129,14.7
30-34,1998,171390,14.9
30-34,1997,172377,14.2
30-34,1996,171785,14.1
30-34,1995,164447,13.6
30-34,1994,159838,13.6
30-34,1993,156532,13.5
30-34,1992,148126,13.9
30-34,1991,144534,13.7
30-34,1990,139145,13.8
35-39,2020,103841,21.4
35-39,2019,102474,20.5
35-39,2018,104698,19.2
35-39,2017,105399,18.1
35-39,2016,105117,17.3
35-39,2015,103868,16.7
35-39,2014,98385,16.5
35-39,2013,95712,16.3
35-39,2012,96011,16
35-39,2011,97981,16
35-39,2010,99512,15.9
35-39,2009,98103,15.8
35-39,2008,96747,16.3
35-39,2007,98326,16.7
35-39,2006,95698,17.1
35-39,2005,90519,17.7
35-39,2004,87216,18.3
35-39,2003,83619,18.9
35-39,2002,79608,19.5
35-39,2001,73425,20.4
35-39,2000,70509,20.5
35-39,1999,67757,21.2
35-39,1998,65040,21.5
35-39,1997,62312,21
35-39,1996,59494,21.2
35-39,1995,54457,20.7
35-39,1994,52201,21.1
35-39,1993,49475,21.5
35-39,1992,46367,22.2
35-39,1991,44908,22
35-39,1990,43080,23.1
40,2020,20718,34.1
40,2019,20770,30.8
40,2018,20354,30.3
40,2017,20529,28.7
40,2016,20678,28.1
40,2015,20988,28.1
40,2014,20570,28.1
40,2013,20553,28.3
40,2012,20645,28.1
40,2011,20727,27.9
40,2010,20046,28.2
40,2009,18996,29.1
40,2008,18521,30
40,2007,18283,31.1
40,2006,17399,31.8
40,2005,15846,32.8
40,2004,15251,33
40,2003,13677,34.7
40,2002,12791,34.6
40,2001,11670,34.6
40,2000,10980,35.4
40,1999,10106,37
40,1998,9558,37.9
40,1997,9138,38
40,1996,8808,37.6
40,1995,8211,38
40,1994,7598,40.9
40,1993,7505,40.2
40,1992,7119,41.5
40,1991,7083,41.6
40,1990,6834,43.2
